"","word","length","frequency","ageOfAcquisition","valence","arousal","dominance","ReactionTime","concreteness","polysemy","information","phonologicalDensity"
"6985","bible",5,7,4.95,5.74,3.65,5,-0.127473666806051,4.61,2,4.805,6
"7009","biceps",7,14,9.42,5.95,4.42,6.45,0.0565884274344736,4.93,1,12.071,0
"7022","bid",4,203,9.84,5.16,4,5.67,-0.480246084585998,2.71,4,4.735,38
"7026","bidder",6,25,9.32,5.39,3.5,5.32,0.407996701519279,3.4,2,5.961,9
"7028","bidding",6,33,9.58,5.29,4.91,5.76,0.0754691187579665,2.69,3,4.879,9
"7089","bigot",6,8,12.17,2.75,5.37,3.12,0.377056341040554,3.11,1,11.817,6
"7107","bike",4,149,4.79,6.1,3.62,5.89,-0.694043262194475,5,2,6.882,33
"7123","bile",4,33,11.67,2.61,4.1,3.5,0.1364739996914,4.46,1,10.074,36
"7139","bill",4,970,6.42,3.11,4,4,-0.810085446935346,4.68,10,7.61,51
"7140","billboard",7,8,7.72,4.25,4,5.15,0.00675489857756457,4.83,1,10.692,1
"7168","billion",7,23,8.37,6.8,5.44,6.5,-0.315078489343651,3.79,3,9.119,8
"7210","bin",4,91,4.68,4.95,3.04,5.21,-0.679966728761452,4.72,3,5.443,42
"7212","bind",5,18,10.24,4.82,4.53,4.24,-0.22476679450754,3.4,1,9.71,22
"7215","binder",7,16,10.42,5.16,3.17,5.29,0.199242027540334,4.89,4,7.906,12
"7221","binding",7,35,11,4.15,4.21,4.27,0.0861123107996287,3.39,5,8.04,9
"7238","binge",5,15,15.22,3.53,5.18,5.21,0.0428281365995776,3.1,2,10.825,7
"7240","bingo",6,106,6.95,5.62,5,5.23,-0.633720144858709,4,1,5.955,3
"7277","birch",4,44,10.84,6.53,2.85,5,0.442863003468117,4.12,3,7.318,24
"7285","bird",4,752,3.52,6.75,3.83,5.88,-0.749896765985149,5,5,8.037,35
"7293","birdie",5,21,6.56,6.47,3.43,5.43,0.433218805053726,3.79,2,9.639,16
"7314","birth",4,1052,5.21,6.52,5.75,5,-0.844359103524803,4.46,5,7.218,25
