"","word","length","frequency","ageOfAcquisition","valence","arousal","dominance","ReactionTime","concreteness","polysemy","information","phonologicalDensity"
"11743","candle",6,140,5.37,6.14,3.81,6.08,-0.757680647027873,4.86,2,5.592,13
"11753","candy",6,113,4,7.27,5.03,6.46,-0.654900758497189,4.83,1,6.923,17
"11760","cane",4,165,5.74,4.64,3,4.38,-0.607785308411883,4.87,3,7.401,43
"11766","canine",6,17,8.45,6.22,4.76,5.24,0.113909354752756,4.71,2,10.062,2
"11803","cannon",6,46,7.9,4.74,5.09,4.95,-0.517577663438752,4.79,6,6.536,7
"11816","canoe",5,66,6.63,5.76,3.7,6.15,-0.0110786473252755,4.86,1,7.048,6
"11824","canon",6,75,9.78,4.9,5.86,4.8,-0.43935517827116,4.56,6,6.29,7
"11861","canteen",7,105,9.04,5.05,3.2,5.15,-0.266514475450328,4.88,5,10.977,4
"11893","canvas",7,277,8.15,5.67,2.7,5.89,-0.228650828539956,4.78,6,5.317,2
"11895","canvass",7,3,11.33,5.4,3.25,5.29,-0.0847844091936922,4.08,7,13.627,2
"11901","canyon",7,149,8.39,5.5,3.9,4.1,0.0368289539988208,4.81,1,4.508,6
"11903","cap",4,489,5.53,5,3.27,5.57,-0.287483598778148,4.59,9,6.095,42
"11926","caper",6,21,12.41,4.9,3.9,5.18,-0.0189059408773711,3.74,6,5.719,14
"11994","capsule",8,55,10.44,5.6,3.45,5.56,-0.0391976726903957,4.52,7,8.184,3
"11996","captain",7,1138,6.06,5.71,3.86,5,-0.542967311089945,4.19,7,9.564,7
"12012","captive",7,14,9.44,3.27,4.88,3.3,-0.348280806471856,3.03,3,11.325,1
"12022","capture",7,81,6.39,5.05,5.43,3.57,-0.633179946900803,3.21,5,8.972,6
"12028","car",4,4944,3.37,6.63,4.04,6.41,-0.778479738697381,4.89,5,4.75,38
"12057","carbon",6,256,10.55,4.5,4.05,5.05,-0.0877173028852372,4.22,3,8.69,7
"12093","carcass",6,80,12.25,2.85,4.85,4.42,0.380211352232662,4.46,1,12.573,1
"12100","card",4,775,6.2,5.5,2.67,5.06,-0.170609208161117,4.9,11,3.429,28
"12103","cardboard",7,58,5.4,4.71,2.25,5.26,-0.144711816422084,4.9,1,10.215,0
"12135","care",4,1688,5.65,7.64,2.67,6.56,-0.702351063129824,2.33,6,4.177,32
"12143","career",6,939,9.95,6.11,4.24,6.17,-0.405045372567646,2.54,2,7.145,4
"12167","caress",6,13,10.89,6.82,4.6,6.38,0.239393295105536,4.14,1,10.134,5
"12184","cargo",5,105,9.48,5.21,2.68,5.64,-0.155223402174977,4.62,1,8.389,7
"12209","carnage",6,24,12.5,3.3,5.77,5.15,0.0250120873090612,3.48,1,9.585,0
"12241","carp",4,43,11.42,4.55,4.31,5.83,0.194360647111211,4.62,2,8.314,13
"12244","carpal",6,0,13.93,4.19,3.79,4.42,1.02106781774906,3.33,1,7.913,4
"12252","carpet",6,416,6.05,5.95,2.77,5.1,-0.488536559309003,4.96,2,7.446,2
"12280","carriage",6,231,5.84,6.1,2.52,6,-0.407080659961805,4.86,5,10.112,1
"12294","carrier",6,121,8.26,5.19,2.96,5.1,-0.385216569458898,4.2,11,7.135,6
"12314","carrot",6,45,2.74,5.79,3.91,6.37,-0.674332886029637,5,4,9.648,4
"12317","carry",5,0,5.16,5.67,3.47,4.94,-0.653952855357369,4.04,1,8.83,21
"12353","cart",4,142,6.16,5.37,3.18,5.83,-0.610820938502542,4.89,2,2.501,24
"12358","cartel",6,25,14.06,3.7,3.76,3.92,0.219335857425887,3.3,1,8.216,4
"12373","carton",6,48,7,5.3,3.41,5.68,-0.0549656929562824,5,2,8.351,12
"12375","cartoon",6,70,3.11,6.74,5.05,5.26,-0.68740936790003,4.33,2,7.213,3
"12383","cartridge",7,31,10.95,5.05,3.06,5.54,0.149370882553349,4.78,4,3.12,2
"12418","cascade",7,20,12.3,6.24,3.59,6.76,-0.202218311767741,3.83,3,8.422,1
"12425","case",4,6866,6.74,5.18,4.14,6.11,-0.73126915796583,3.93,20,6.13,33
"12449","cash",4,899,4.84,7.51,6.59,6.16,-0.954117705540746,4.48,3,6.887,34
"12466","cashier",6,33,6.74,5.1,3.45,5.43,-0.430300800710671,4.89,2,9.884,5
"12475","cashmere",7,21,13.05,6.62,3.8,5.05,0.271432472645942,4.72,3,4.417,1
"12478","casing",6,36,11.53,4.3,2.95,4.96,0.57125789041433,4.28,3,10.172,12
"12484","casket",7,35,8.26,2.42,4.82,3.11,0.0624674126322895,4.86,2,11.231,4
"12492","cassette",6,48,6.37,5.36,3.77,5.8,-0.180731470054588,4.6,1,6.315,4
"12498","cast",5,376,7.24,5.26,3.55,5.05,-0.760911867666848,3.92,9,8.171,26
"12508","caste",5,88,13.07,4,3.38,3.64,0.177064815934923,2.67,4,10.565,26
"12535","castle",5,424,5.8,6.42,4.72,6.35,-0.744051714715433,4.96,4,7.19,13
"12579","cat",4,739,3.68,6.95,4.5,5.48,-0.749147474506326,4.86,8,7.198,45
"12636","catch",4,124,4.61,5.64,4,5.47,-0.8290154673258,4.11,10,9.894,26
"12641","catcher",6,21,7.63,5.39,3.26,4.8,0.220432676602658,4.44,2,7.011,10
"12714","catfish",7,6,6.61,5.24,4.26,5.79,0.259222883479839,4.85,3,7.569,0
"12742","catnip",7,0,6.89,4.74,4.57,4.47,0.72469670970275,4.68,1,7.774,1
"12760","cattle",5,568,6.53,5.42,2.64,4.74,-0.501807154918201,4.64,1,9.179,12
"12765","catwalk",7,4,10.32,5.65,4.52,5.95,-0.188820951934386,4.15,2,8.984,1
"12786","cauldron",8,36,9.61,4.91,4.41,4.89,-0.0167969760384502,4.61,1,8.205,1
"12801","cause",4,1324,5.84,5.14,3.48,5.17,-0.412198692496828,2.43,5,7.767,31
"12826","caution",5,191,6.22,3.29,4,4.86,-0.646627465015983,2.04,4,7.702,7
"12845","cave",4,491,6.74,5.15,4.39,4.45,-0.75908208409141,4.96,1,9.508,27
"12855","caveman",7,8,6.28,5.4,4.14,5.42,-0.0742483991500237,4.3,1,7.9,0
"12857","cavern",6,34,8.84,5.38,3.63,4.41,-0.117453586096189,4.57,2,10.059,3
"12885","cayenne",5,4,12.81,5.55,3.8,4.95,0.463326660109509,4.22,3,6.483,2
"12888","cease",4,17,9.26,3.95,3.64,5.17,-0.256551694739348,2.39,1,10.829,33
"12897","cedar",6,38,9.86,6.32,3.21,5.1,0.130612588369711,4.83,3,7.117,17
"12905","ceiling",6,463,4.75,5.39,2.75,5.16,-0.442567141042309,4.85,4,8.859,23
"12927","cell",4,650,10,4.09,4.23,4.86,-0.476423511934665,4.44,7,5.856,43
"12928","cellar",6,183,8.94,4.7,3.14,4.75,-0.245504883414475,4.68,3,7.667,23
"12932","cellist",7,6,11.55,5.84,3.85,5.25,0.431963475948228,4.31,1,11.713,0
"12934","cello",5,33,9.89,5.75,3.83,6.41,0.0286561630533506,4.96,1,7.664,7
"12946","cement",7,195,6.89,4.62,3.28,4.84,0.00469596947515857,4.97,5,9.382,3
"12963","censor",7,20,9.74,4.1,4.45,4.15,-0.00275241352762736,3,2,10.78,11
"12979","census",7,90,11.14,4.91,3.54,4.91,-0.0175218022069994,3.3,1,8.309,1
"12981","cent",5,5019,6,5.37,3.76,5.3,-0.277821102490066,4.19,2,3.507,31
"13008","central",8,0,8,5.33,3.5,5.76,-0.313277996660853,2.71,1,7.365,2
"13060","cereal",6,207,4.44,6.45,3.05,5.77,-0.457901367655921,4.83,3,9.013,4
"13116","cervix",7,20,14.67,4.45,4.58,4.57,0.497587417662794,4.62,2,11.681,2
"13123","cesspool",7,5,13.65,2.95,4.42,3.65,0.93084657421454,4.19,1,13.713,0
"13162","chain",4,585,5.22,4.79,4.05,4.2,-0.512616588118675,4.55,10,5.668,30
"13190","chair",4,1840,3.43,5.89,2.86,5.28,-0.724274604467238,4.58,5,7.173,27
"13196","chairman",6,1038,10.84,5.57,3.55,5.57,-0.182695615373226,4.31,1,8.58,4
"13211","chalet",5,9,13.8,5.1,3.83,4.76,0.173458458055209,4.36,1,5.829,8
"13213","chalice",6,16,11.35,5.19,3.48,5.76,0.349736245775815,4.83,1,10.911,3
"13215","chalk",4,167,4.47,5,2.9,5.48,-0.254213601566148,4.9,4,8.585,27
"13235","challenge",7,543,7.55,5.95,5.25,4.68,-0.740963342420722,2.11,5,8.36,1
"13245","chamber",7,665,9.3,4.73,4.58,5.5,-0.472538863248243,4.59,5,7.947,2
"13270","champ",5,2,7.53,6.35,5.04,6.56,0.293847454179121,3.29,1,6.905,13
"13272","champagne",8,285,10.26,6.86,3.8,6.47,-0.105333446747443,4.82,2,6.838,3
"13278","champion",8,228,8.61,7.33,4.74,5.88,-0.508799118284506,3.82,4,6.45,3
"13290","chance",5,2516,7.78,6.05,4.3,5.25,-0.707895112571787,1.64,5,7.131,11
"13321","change",5,2061,4.26,5.09,4.05,5.81,-0.653594866130819,2.89,10,6.253,9
"13348","channel",5,384,5.79,5.67,2.68,5.52,-0.621390626183646,4.18,8,6.413,6
"13354","chant",5,35,6.88,4.32,3.29,5.2,-0.0814680431352435,4,1,9.643,12
"13365","chaos",5,274,10.05,2.84,6.31,3.31,-0.47919169782101,2.79,4,8.334,7
"13368","chap",4,372,10,5.1,2.54,5.05,-0.380275877731604,3.9,4,10.932,29
"13370","chapel",5,372,6.95,6.67,2.45,3.8,-0.464614813730911,4.6,2,6.494,3
"13382","chaplain",7,84,12.19,5.1,3.56,5.18,0.481266409653325,4.33,1,11.569,4
"13392","chapter",7,2032,6.42,5.7,3.86,6.21,-0.519821937009893,3.43,5,7.729,4
"13414","charade",6,31,9.56,3.95,4.23,4.45,0.269862889167997,1.93,2,10.861,4
"13416","charcoal",6,96,8,6.2,2.86,5,-0.0664306730361991,4.85,4,7.511,1
"13421","charge",4,1180,7.5,4.61,4.25,5.17,-0.543801360532813,2.96,15,6.598,11
"13430","charger",6,12,10.63,5.28,3.59,5.04,-0.257619991124552,4.39,2,3.536,7
"13444","chariot",6,36,9.11,6.11,4.11,6.59,-0.247543594710484,4.86,2,9.065,3
"13473","charm",4,320,8.09,7.34,4.51,6.43,-0.682186649467366,2.76,4,6.448,11
"13476","charmer",6,22,10.79,6.53,4.79,5.86,-0.057286053334722,2.54,2,10.879,9
"13491","chart",4,238,7.59,5.35,3.1,6.11,-0.602150563842436,4.48,2,5.051,17
"13494","charter",6,142,10.33,5.55,3.84,5.74,-0.253027492605806,3.15,2,7.982,12
"13518","chase",4,76,5.53,3.77,6.6,4.68,-0.526648391495459,3.48,3,7.925,19
"13525","chaser",6,4,11.22,4.72,4.89,5.33,0.0706454427771596,3.35,2,3.444,9
"13555","chat",4,193,7.33,5.75,4.27,6.22,-0.821671215791505,3.66,3,5.142,30
"13568","chatter",6,65,7.56,5.9,4.44,5.95,-0.099808917579582,3.33,3,8.526,14
"13583","chauffeur",6,83,9.84,5.42,4.7,5.33,0.153000398419864,4.43,1,9.834,5
"13619","cheapskate",8,1,8.79,3.76,2.8,5.32,1.0562243858709,3.26,1,11.227,0
"13621","cheat",4,17,5.11,3.05,4.91,4.37,-0.762061076904534,2.23,5,7.98,24
"13627","check",4,385,5.53,6.55,3.38,4.67,-0.84716892722369,4.11,13,6.306,28
"13629","checkbook",7,8,8.67,4.86,4.29,5.86,0.462237069691204,4.97,1,9.015,1
"13640","checker",6,1,6.89,4.94,3.68,5.79,-0.138681381974174,4.04,3,4.553,12
"13643","checkers",6,1,6.11,5.24,3.24,6,-0.16376922085623,4.89,3,6.25,2
"13653","checklist",9,4,7.78,6.4,3.55,6.48,-0.255905763163384,4.61,1,8.886,1
"13655","checkmate",7,3,9,5.14,4.65,5.52,0.0617803078543374,3.36,2,4.937,0
"13663","checkout",6,21,6.44,5.6,4.14,6,-0.60253743112432,3.96,3,4.858,1
"13667","checkpoint",8,35,13,4.44,4.67,4.3,-0.546921406541641,3.62,1,10.815,1
"13682","checkup",6,2,6.06,4.48,4.73,5.74,0.30196376315411,3.48,1,10.088,1
"13686","cheek",4,434,5.06,5.9,3.47,5.38,-0.71984756342798,4.83,4,8.445,29
"13704","cheer",4,48,5,7.1,5.33,6.37,-0.623951304797972,2.77,2,9.874,28
"13731","cheese",4,497,4.33,6.81,3.8,7.11,-0.752606943434539,4.7,2,5.027,27
"13732","cheesecake",7,3,8.11,7.67,3.43,6.22,-0.15889370155574,4.97,2,7.402,0
"13742","cheetah",5,10,8.16,6.27,5.31,5.43,0.0703314419136163,4.7,1,9.186,11
"13744","chef",4,48,8.3,6.15,3.05,6.67,-0.533888490628334,4.3,1,6.43,11
"13755","chemist",7,81,8.94,4.95,3.95,5.4,-0.291312085966458,4.24,2,6.555,3
"13777","cherry",5,83,5.58,7.05,4.91,5.63,-0.563981325301041,4.62,4,6.709,22
"13779","cherub",6,3,12.18,5.29,3.22,5.62,-0.069558912535221,3.85,2,8.572,3
"13787","chess",4,264,5.37,5.05,2.86,5,-0.566709956697717,4.7,2,8.62,20
"13792","chest",5,778,5.05,5.18,4.95,6.58,-0.689965810297495,4.93,4,8.156,21
"13798","chestnut",7,54,6.55,5.68,3.43,5.63,-0.379418811617107,4.7,6,8.062,2
"13811","chew",3,3,4.05,5.58,3.8,6.48,-0.521040922042641,3.93,2,10.377,33
"13831","chic",4,29,9.53,6.47,5.1,6.04,0.404943676398081,2.26,1,6.675,29
"13842","chick",4,34,5.53,5.86,4.04,5.32,-0.350599479185145,4.93,2,7.698,31
"13843","chicken",6,534,3.26,6.17,3.2,5.22,-0.763601357260473,4.8,4,7.142,4
"13870","chief",4,908,7.53,5.83,3.25,4.89,-0.545604273759002,4.26,3,7.501,16
"13892","chiffon",6,42,13.78,6,4.68,5.14,0.228032688930055,4.45,1,4.529,0
"13906","child",5,7645,5.15,7.2,5.33,5.2,-0.854729445770284,4.78,4,7.76,10
"13909","childbirth",8,92,9.25,6.62,5.62,5.14,-0.00966788977091375,4.04,1,7.413,0
"13910","childhood",8,755,7.94,6.65,3.73,5.3,-0.0458474792403391,2.53,2,7.484,1
"13919","children",8,11744,4.1,6.36,5.09,5.95,-0.690740601012862,4.89,4,6.656,0
"13925","chill",4,108,6.4,5.16,3.25,5.55,-0.428634406879149,2.89,4,9.251,28
"13940","chime",4,11,7.83,6.05,4.1,6.21,-0.148608295779984,4.4,1,6.969,12
"13955","chimney",6,123,6.58,4.89,2.45,5.19,-0.0716032597581702,5,2,10.156,1
"13971","chimp",5,9,7.17,6,3.8,4.95,-0.0966174077118337,4.96,1,4.776,9
"13975","chin",4,457,4.22,5.07,3.84,5.48,-0.502146627917353,4.89,2,8.073,29
"14007","chip",4,101,5.89,6.32,2.75,4.58,-0.582323226471236,4.71,9,7.066,29
"14042","chirp",4,3,4.63,5.9,4.15,5.58,0.00579006346533121,4,1,12.754,9
"14060","chisel",5,32,10.53,5.25,3.55,5.19,0.231126592411506,4.63,1,8.253,4
"14069","chitchat",7,8,9.59,6,3.88,5.74,0.702623059988561,3.11,1,7.993,0
"14081","chloride",7,21,12.22,4.32,4.36,5.85,-0.0568348425264241,3.74,2,3.857,1
"14088","chlorine",7,28,8.57,3.84,4.43,5.5,-0.0250217046447935,4.5,1,10.85,1
"14115","choice",4,1828,5.17,6.36,3.52,6.56,-0.730786080694133,1.9,3,7.426,7
"14122","choir",6,117,6.53,6.15,3.29,4.68,-0.697865331462694,4.34,3,7.42,5
"14132","choke",4,6,6.11,2.42,5.3,3.74,-0.259956283767426,3.97,2,11.432,25
"14169","chop",4,45,6.74,4.6,4.43,5.76,-0.348485299146881,4.48,5,8.603,24
"14180","chopper",6,76,8.21,5.05,3.55,5.44,-0.248411053816172,4.07,4,7.437,14
"14181","choppers",6,24,10.6,4.8,5.05,4.85,-0.184294485470593,3.93,4,5.056,8
"14199","chord",4,42,9.71,5.75,2.72,5.35,0.0434687793976831,4.29,2,8.594,30
"14201","chore",4,54,5.79,3.9,4.8,5.08,-0.33042860152892,3.78,1,12.277,24
"14216","chorus",6,173,7.5,6,4.2,5.26,-0.368316497867386,4.03,5,10.164,16
"14226","chow",3,15,7.89,6.16,4.17,5.89,-0.12475891746577,4.47,3,5.491,24
"14229","chowder",6,7,8,6,3.91,6.24,0.822834038505677,4.7,1,3.665,3
"14237","christening",8,14,10.56,5.8,3.83,5.73,0.0265548240094253,2.72,1,7.069,1
"14270","chrome",5,45,8.32,6.26,4,5.25,-0.153382946613509,4.5,1,6.78,12
"14272","chromium",7,27,12.89,4.8,2.9,5.08,1.10671622379459,4.33,1,8.005,0
"14303","chuck",4,0,6.72,5.06,3.95,5.04,-0.210585168319574,3.82,3,8.221,29
"14311","chuckle",5,36,6.3,7.1,5.3,5.71,-0.453842389884492,3.82,1,11.876,7
"14321","chug",4,4,9.37,5.2,3.19,5.68,0.680215727307064,3.68,1,8.345,18
"14331","chum",4,54,9.24,5.3,4.18,6,0.268577204053772,3.81,3,10.377,24
"14340","chump",5,9,10.95,4.1,3.95,4.05,0.0874044744676317,3.19,1,10.541,16
"14346","chunk",5,62,8.53,4.67,4,5.48,-0.158009533326201,3.86,2,9.386,13
"14351","church",4,2844,5.15,5.21,3.63,5.04,-0.865718324314578,4.9,4,6.384,6
"14373","churn",4,10,9,4.84,4.28,4.35,0.0862639676534608,4,1,11.772,21
"14383","chute",4,24,7.68,4.05,2.71,5.45,0.530440902167814,4.61,2,9.94,22
"14399","cider",6,66,5.83,5.6,3.41,5.84,-0.204424962131324,4.97,1,5.033,16
"14404","cigar",6,233,7.67,4.4,4.27,6.16,-0.204926277667379,4.93,1,7.994,2
"14418","cinch",5,9,10.72,4.47,3.3,5,0.866290801644615,3.07,3,9.461,13
"14427","cinder",7,19,7.57,4.8,3.91,5.76,0.614114864915109,4.54,1,6.731,11
"14450","cipher",6,33,13.82,5.71,4.55,5.53,0.626787393793038,3.58,5,10.297,10
"14458","circle",5,861,3.67,5.76,3.33,5.38,-0.769061952702167,4.44,8,7.502,10
"14466","circuit",6,236,11.78,4.82,4.35,5.56,-0.531060085584182,3.83,7,7.627,6
"14531","circus",6,257,4.53,5.85,5.45,4.94,-0.435770301334485,4.43,6,7.79,6
"14557","citrus",7,1,6.63,6.36,4.16,6.46,-0.127710907738552,4.21,2,8.593,3
"14562","city",5,3548,6.56,6.12,5.08,5.04,-0.67891707343863,4.79,3,5.021,17
"14572","civics",7,5,11.35,5.33,3.85,5.05,0.271747838324558,2.21,1,10.648,3
"14612","claim",5,652,9.05,5.15,3.9,6.06,-0.729540944968893,2.96,6,8.702,13
"14625","clam",5,13,7.37,4.7,3.36,5.32,-0.135987307648051,4.89,3,9.451,21
"14650","clamp",6,19,10.89,4.6,5.05,4.58,-0.248264510890355,4.53,1,5.81,13
"14668","clan",5,122,11.05,5.2,3.78,4.35,-0.405211590365862,3.46,1,7.988,17
"14672","clang",5,23,9.53,4.1,4.61,5.35,0.152033052020323,3.96,1,5.922,13
"14693","clap",5,16,3.4,6.05,5.15,6.19,-0.429502560617164,4.16,3,8.301,18
"14701","clapper",7,5,9.25,5.16,4.45,5.26,0.0586641559627844,3.92,3,6.181,8
"14732","clash",5,132,8.95,3.96,5.67,4.32,-0.293531371851357,2.63,4,9.212,14
"14738","clasp",6,24,8.63,5.19,3.52,5.47,0.0110588506218874,4.41,2,5.734,6
"14746","class",5,3793,4.95,5.73,4.43,5.24,-0.870324601293737,3.85,8,6.776,18
"14756","classic",7,40,8.42,6.32,3.62,6.29,-0.79222335664295,2,2,7.258,2
"14782","classmate",8,9,7.15,5.95,3.32,5.61,-0.46228901373424,4.32,1,11.707,1
"14784","classroom",8,272,5.63,5.57,4,5.05,-0.570558880465476,4.76,1,9.824,1
"14790","clatter",7,85,8.74,4.05,5.04,4.79,0.127090852787598,3.19,1,13.748,6
"14795","clause",5,127,12.16,4.9,3.32,4.8,0.248721356036676,2.73,2,8.047,9
"14806","claw",4,40,4.7,4.65,3.65,3.8,-0.410447925193764,4.83,4,8.06,12
"14819","clay",4,372,5.32,5.45,3.84,5.64,-0.479470276107143,4.93,5,7.316,15
"14825","clean",5,32,3.89,7.09,3.57,6.11,-0.938606538746303,3.07,1,9.19,18
"14836","cleaner",7,128,5.76,5.8,3.17,6.14,-0.619154636254261,3.78,3,4.66,7
"14864","cleanser",8,7,8.22,6.4,3.61,6.24,-0.160799251620288,4.59,1,3.61,3
"14871","cleanup",7,14,5.06,4.86,3.04,6.6,-0.220958567600149,3.04,3,9.843,0
"14874","clear",5,0,5.8,6.14,2.71,6.17,-0.903195783654285,3.55,2,7.901,13
"14878","clearance",8,105,8.95,6.62,4.5,5.5,-0.168315011608194,2.19,3,5.799,1
"14919","cleat",5,22,9,4.24,3.61,5.42,0.865181762181985,4.5,3,4.007,13
"14921","cleavage",7,40,12.95,5.53,6.29,5.71,-0.259363264492648,4.64,5,8.235,1
"14926","cleaver",7,22,8.94,4.95,5.1,5.44,0.162599682001368,4.7,1,7.391,7
"14935","cleft",6,47,11.83,4.36,3.54,4.57,0.219573510171037,4.31,2,10.731,3
"14950","clergy",6,85,10.15,4.8,2.95,5.16,-0.0931635025383953,4.03,1,10.844,1
"14953","cleric",7,12,11.89,4.65,3.18,4.43,0.247810778562332,4.39,1,7.368,1
"14959","clerk",5,404,6.74,4.76,3.85,5.24,-0.301044146659732,4.28,2,8.04,10
"14983","click",5,80,6.94,5.7,2.81,5.52,-0.705602278414675,4.03,4,4.834,23
"14990","client",7,202,12.05,5.22,2.95,4.83,-0.49663276086205,3.9,3,8.326,1
"14995","cliff",5,264,7.28,4.77,5.18,4.09,-0.588769330297632,4.71,1,9.442,8
"15002","climate",7,496,7.95,5.8,3.95,4,-0.70096843472208,3.5,2,7.973,2
"15008","climax",8,171,10.79,7.53,6.83,6.21,-0.453628200222367,2.86,5,9.527,1
"15016","climb",5,229,5.3,5.62,3.95,5.61,-0.632642593757266,4.11,3,10.67,12
"15023","climber",7,80,8.05,6,4.45,5.33,-0.21922307182789,4.5,5,7.572,6
"15032","clinch",6,2,10.94,4.85,4,5.09,-0.0620278816450267,2.92,5,10.612,6
"15048","clinic",7,271,9.37,4.95,2.95,4.52,-0.384440433297846,4.24,3,6.663,1
"15054","clink",6,24,9.44,5,4.68,5.1,-0.0931174016682387,3.2,2,9.629,9
"15064","clip",5,6,6.61,5.36,2.9,5.37,-0.630989290052294,4.37,6,5.075,15
"15066","clipboard",8,7,7.76,4.75,2.67,6.59,-0.30216107450805,4.93,1,7.745,1
"15072","clipper",7,2,9.56,5.67,3.44,5.25,-0.284846846463515,4.3,4,6.028,12
"15076","clipping",7,16,8.89,5.1,4.15,5.95,-0.171172117651878,4,3,11.41,7
"15081","clique",5,39,12.42,4.06,4.42,4.6,0.247235641886144,2.68,1,11.358,14
"15090","cloak",5,123,6.95,5.95,4.1,5.13,-0.352329413506211,4.71,2,10.753,15
"15095","cloakroom",8,20,9.35,4.95,2.95,5.45,-0.188675234295007,4.48,2,10.499,0
"15099","clobber",7,5,8.53,4,4.43,4.15,0.100761057260552,3.55,1,9.505,2
"15106","clock",5,637,4.42,5.65,3.35,5.24,-0.738116062029148,5,1,6.365,19
"15144","clockwork",8,43,8.79,5.58,4.23,5.48,-0.183339096761109,3.36,1,7.663,0
"15152","clog",5,0,9.39,2.95,3.23,3.58,6.04580304472806e-05,3.47,3,8.861,7
"15174","clone",5,10,8.89,4.18,3.95,5,-0.364698862744702,4.34,3,7.329,19
"15181","close",5,0,4.5,5.23,3.81,5.94,-0.852362706583261,3.2,3,8.464,9
"15215","closeness",8,90,7.32,6.85,3.9,6.48,-0.152051839726857,2.39,6,14.485,0
"15239","closet",7,162,5,5.1,3.55,6.63,-0.195789083684031,4.83,4,10.323,1
"15262","closure",7,94,12.11,5.21,3.19,5.7,-0.548134308861899,1.78,7,8.58,5
"15264","clot",5,24,11.05,2.95,4.17,3.71,-0.243895201806766,4.2,1,8.435,14
"15266","cloth",5,810,5.3,6.2,2.58,5.4,-0.623022335832373,4.9,1,6.73,4
"15270","clothes",6,2225,3.11,6.77,3.14,5.47,-0.787280720493888,4.76,1,6.964,5
"15289","clothing",7,615,4.22,6.37,4.44,6.72,-0.69782140754701,4.43,1,3.933,3
"15299","cloud",5,536,3.63,6.2,2.81,4.79,-0.460747289984596,4.54,6,8.633,13
"15334","clover",7,103,5.74,5.37,3.06,5.41,-0.315595990332412,4.69,1,5.001,7
"15340","clown",5,50,3.72,5.36,4.94,4.38,-0.710695628111006,4.9,2,7.619,9
"15353","club",5,1593,5.89,6.5,3.76,5.11,-0.44991083220038,3.78,7,4.305,8
"15363","clubhouse",8,15,7.44,6.47,3.77,5.74,0.459944044353053,4.61,1,10.726,0
"15369","cluck",5,5,5.22,4.75,3.9,4.81,0.2770187805766,3.33,1,6.155,15
"15386","clump",6,58,8.62,3.92,3.25,4.36,0.200083635062136,4,3,14.559,8
"15398","clunk",6,4,8.22,4.4,4.1,4.88,0.359582739604994,3.26,1,13.116,10
"15404","cluster",8,139,10,5.05,4.21,4.89,-0.281060231624215,4.04,1,9.872,7
"15410","clutch",5,73,10.24,4.8,4.04,5.19,-0.328532631282443,3.7,7,7.853,6
"15420","clutter",7,37,8.33,3.67,3.68,3.19,-0.208231828803673,3.68,2,10.372,6
"15430","coach",4,497,6.89,5.72,3.35,4.11,-0.706565234902356,4.12,5,7.296,19
"15438","coachman",7,23,11.39,5.22,3.05,4.28,0.241918422105101,4.12,1,14.156,0
"15454","coal",4,746,6.65,4.56,2.55,4.88,-0.582184159420542,4.66,2,9.573,43
"15506","coast",5,861,6.43,5.9,4.17,5.78,-0.550549826058992,4.21,4,4.198,23
"15510","coaster",7,15,7.89,5.48,3.39,5.12,-0.258587420473478,4.68,3,3.878,8
"15517","coastline",8,75,9,7.5,3.45,5,-0.103393419294985,4.54,1,10.231,1
"15523","coat",4,900,3.58,5.29,3.1,6.68,-0.741731477333737,4.97,3,6.965,40
"15530","coating",6,33,8.56,5.25,3.59,5.63,-0.2074520385593,3.97,4,7.515,15
"15550","cobalt",7,23,13.47,5.63,3.35,6.17,0.377259709871053,4.46,1,7.68,1
"15555","cobbler",7,9,9,6,2.92,4.79,0.543781539884809,4.53,3,6.765,3
"15564","cobra",6,35,7.47,4.42,5.71,3.74,-0.476743296090673,5,1,5.698,2
"15572","cocaine",6,22,12.16,3.05,4.5,3.56,-0.239175121765439,4.52,1,7.998,0
"15580","cock",4,103,11.32,5.05,5.74,5.5,-0.509215120091068,4.79,5,4.822,43
"15624","cockpit",7,59,8.74,5.53,4.9,5.61,-0.0672791644219225,4.27,3,11.216,1
"15626","cockroach",7,9,6.25,2.46,5.22,3.57,0.0162631209801608,4.96,1,12.977,0
"15634","cocktail",7,147,9.53,6.95,5.6,5.86,-0.565610975817174,4.4,2,8.297,1
"15645","cocoa",5,88,6.84,7.33,5,6.32,-0.311929584612824,4.89,2,8.743,11
"15654","cocoon",6,31,8.95,5.22,2.85,4.41,-0.187831696981264,4.83,1,10.074,2
"15663","cod",4,87,11.5,5.21,3.95,5.37,-0.359115401228473,4.61,3,3.88,36
"15674","code",4,447,8.11,4.67,2.76,4.83,-0.428163613922806,3,3,4.446,38
"15740","coffee",5,1644,4.94,7,5.1,6.12,-0.568942250522265,4.81,4,6.5,7
"15768","coffin",6,144,7.79,2.63,4.3,3.72,-0.578256917958723,4.86,1,11.252,2
"15770","cog",4,17,11.33,4.55,4,5.16,0.0507285369380544,4.46,2,9.084,15
"15779","cognac",7,40,14.16,4.85,4.81,5.42,0.422830651102482,4.54,1,7.418,1
"15824","coil",4,45,9.67,4.94,3.72,4.82,-0.257296041612515,4.56,6,7.311,26
"15830","coin",4,132,4.17,6.55,3.13,6.24,-0.711771575842878,4.89,1,8.14,17
"15854","coke",4,100,4.74,6.55,4.3,5.53,-0.536196946483406,4.83,3,8.117,38
