#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:cpacific" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:cpacific" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:cpacific">
#                <taxonset id="TaxonSet.cpacific" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:cpacific" name="distribution" x="@birthRate.t:cpacific">
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="gamma_shapePrior_CTMC" name="distribution">
#            <parameter id="gamma_shape_s" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <distribution id="EastPolynesian.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:cpacific">
#            <taxonset id="EastPolynesian" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="Hawaiian" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Maori" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Marquesan" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Mangareva" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Rarotongan" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Tuamotu" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="SouthIslandMaori" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="TahitianModern" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="RapanuiEasterIsland" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.0" name="distr">
#                <parameter estimate="false" id="RealParameter.01" name="mean">1000.0</parameter>
#                <parameter estimate="false" id="RealParameter.02" name="sigma">100.0</parameter>
#            </Normal>
#        </distribution>
#        <distribution id="NewZealand.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:cpacific">
#            <taxonset id="NewZealand" spec="beast.evolution.alignment.TaxonSet">
#                <taxon idref="Maori"/>
#                <taxon idref="SouthIslandMaori"/>
#            </taxonset>
#            <LogNormal id="LogNormalDistributionModel.01" meanInRealSpace="true" name="distr" offset="704.0">
#                <parameter estimate="false" id="RealParameter.05" name="M">90.0</parameter>
#                <parameter estimate="false" id="RealParameter.06" lower="0.0" name="S" upper="5.0">0.8</parameter>
#            </LogNormal>
#        </distribution>
#        <prior id="ucldStdevPrior.c:cpacific" name="distribution">
#            <parameter id="ucldStdev.c:cpacific" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.07" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.08" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#        <prior id="MeanRatePrior.c:cpacific" name="distribution">
#            <parameter id="ucldMean.c:cpacific" name="x">1.0</parameter>
#            <Uniform id="Uniform.01" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution id="treeLikelihood.cpacific" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:cpacific">
#            <data ascertained="true" data="@cpacific" excludeto="1" filter="::" id="bin.cpacific" spec="beast.evolution.alignment.FilteredAlignment">
#                <userDataType id="Binary.0" spec="beast.evolution.datatype.Binary"/>
#            </data>
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:cpacific" shape="@gamma_shape_s" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="proportionInvariant.s:cpacific" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="CTMC.s:cpacific" spec="beast.evolution.substitutionmodel.GeneralSubstitutionModel">
#                    <parameter dimension="2" estimate="false" id="rates.s:cpacific" lower="0.0" name="rates">1.0 1.0</parameter>
#                    <frequencies id="estimatedFreqs.s:cpacific" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="2" id="freqParameter.s:cpacific" lower="0.0" name="frequencies" upper="1.0">0.5</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@ucldMean.c:cpacific" id="RelaxedClock.c:cpacific" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:cpacific">
#                <LogNormal S="@ucldStdev.c:cpacific" id="LogNormalDistributionModel.c:cpacific" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.09" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="38" id="rateCategories.c:cpacific" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.cpacific	TreeHeight.t:cpacific	gamma_shape_s	YuleModel.t:cpacific	birthRate.t:cpacific	freqParameter.s:cpacific1	freqParameter.s:cpacific2	logP(mrca(NewZealand))	mrcatime(NewZealand)	logP(mrca(EastPolynesian))	mrcatime(EastPolynesian)	ucldMean.c:cpacific	ucldStdev.c:cpacific	rate.c:cpacific.mean	rate.c:cpacific.variance	rate.c:cpacific.coefficientOfVariation	
150000	-8571.707233813062	-8427.193663030734	-144.51357078232897	-8427.193663030734	887.6486284956163	0.8769213386789525	-127.78601631318523	0.0037055084219292504	0.9386239306195415	0.06137606938045866	-4.561370890469209	741.5517944459405	-6.321198844449167	873.7391489608593	9.917643259099856E-4	1.8018347467926719	1.9334817092904943E-4	7.092477640792789E-7	1.3277327574438995	
160000	-8568.8275708159	-8422.687662035649	-146.13990878025137	-8422.687662035649	924.6401004717985	0.8769213386789525	-129.30271490117948	0.002806009650207222	0.9451566263872712	0.05484337361272898	-4.609317217441584	748.7913865034839	-6.513863582414014	859.304949396132	7.17738704130959E-4	1.7563155944764097	1.6801969686926498E-4	2.408994991314072E-7	1.1542780831481643	
170000	-8568.418672218193	-8423.592578023927	-144.82609419426706	-8423.592578023927	938.6483870674799	0.8769213386789525	-129.22839068404477	0.003560646838067106	0.9451566263872712	0.05484337361272898	-4.556265528890155	737.4725242180991	-5.85847321140441	918.2241487709672	5.079705447929065E-4	1.5729012918523637	1.7262369791080115E-4	1.3503017324947463E-7	1.087694677098728	
180000	-8577.222031497751	-8428.153200117778	-149.06883137997227	-8428.153200117778	1158.2574556088282	0.883377127098379	-133.9080990642988	0.0038041382171536877	0.9475924464917893	0.05240755350821079	-4.783227101424541	763.1208927959128	-5.551740494615776	976.4917991232797	3.7467512263133004E-4	1.4485072051261947	1.4433526335570434E-4	8.642190496903109E-8	1.105118768628708	
190000	-8569.069213369747	-8418.891000147294	-150.17821322245265	-8418.891000147294	1004.6297384071423	0.8792319966278168	-134.92555236513334	0.0017147487577413186	0.9487962199085131	0.051203780091486975	-4.728980277604687	759.1962146974879	-5.524128104061492	999.3773465052182	3.439150620257966E-4	1.5092382934460395	1.1470377558928556E-4	6.269309380246623E-8	1.208270811815425	
200000	-8575.591590971795	-8422.607695341549	-152.9838956302457	-8422.607695341549	1224.2854623220437	0.8025537434549795	-137.64605558415877	0.0027824233681275224	0.9473006438833542	0.05269935611664589	-4.57279874735444	733.7092143781153	-5.686401536592134	943.0275825685147	3.3315665929784845E-4	1.5626142677655244	1.0579129439439712E-4	3.741889312325618E-8	1.218183649679118	
210000	-8577.211952114172	-8421.99525018917	-155.21670192500258	-8421.99525018917	1260.2556678780518	0.8025537434549795	-139.99701728477612	0.001683056379616634	0.9473006438833542	0.05269935611664589	-4.708530418895492	726.1398445464473	-5.601553186917893	1039.3559316304743	2.721375689392137E-4	1.5046989005959694	9.531805957558224E-5	4.57173955183006E-8	1.211434088071903	
220000	-8578.41076543557	-8427.339973574244	-151.0707918613254	-8427.339973574244	866.0767287907125	0.7863283881312205	-135.45119921943396	0.0028127672567418434	0.9452856098020953	0.05471439019790484	-4.564995678315272	734.8819406594694	-6.44930060104149	863.9711882100909	2.968517710349205E-4	1.4065423885098332	1.2850688162554142E-4	7.731645532115251E-8	1.3602154603445453	
230000	-8589.510003087735	-8435.7382868782	-153.771716209535	-8435.7382868782	1024.5797457958154	0.8886072903921594	-138.0961302785813	0.0020009736849288967	0.9512512098096692	0.048748790190330925	-5.170471056347847	787.676336387284	-5.6314031283240515	953.676267609078	2.1804138382347724E-4	1.4630627690838454	9.422815914514875E-5	4.692675066314446E-8	1.3188966252829104	
240000	-8576.944851353092	-8419.281905458753	-157.6629458943384	-8419.281905458753	1067.9865637320856	0.8075173814450116	-140.87088266506177	0.0012262631155627209	0.9512512098096692	0.048748790190330925	-5.533795108722109	715.2553567733283	-6.046585395738249	897.7770400990576	2.046850000623152E-4	1.6066422071269422	8.36949126408607E-5	2.0593475968159E-8	1.1515354241806728	
250000	-8576.9057776887	-8419.71465737288	-157.1911203158189	-8419.71465737288	1201.452060051312	0.8075173814450116	-141.64759875538334	0.0015637539495126826	0.9451195396573924	0.054880460342607705	-4.5986843466870795	731.2481686539627	-5.565911235968966	971.0854649782495	2.2685386061669402E-4	1.6643118216172919	8.49924794638812E-5	3.144423756004901E-8	1.241913727951142	
260000	-8575.910612887055	-8418.02055773457	-157.89005515248638	-8418.02055773457	1094.0790500512662	0.7840929820501701	-142.73491014540025	0.0018648357881303076	0.9452932830338796	0.054706716966120485	-4.581769567837374	732.6973261982566	-5.572399973917474	1031.0777266622608	1.617638800923549E-4	1.542304672384705	8.484619023021649E-5	3.229359536745371E-8	1.3357802816325173	
270000	-8578.941023970048	-8420.841855870494	-158.0991680995546	-8420.841855870494	1321.0935303641472	0.8898788814626344	-143.36224394821062	0.001695666842110599	0.9452932830338796	0.054706716966120485	-4.574706833142533	733.4720448379479	-5.528663360099923	990.4557442331432	1.557773353402294E-4	1.3810091718587372	8.298251999612481E-5	8.803164520535334E-8	1.8353172296771625	
280000	-8580.523611822115	-8421.809735005367	-158.71387681674804	-8421.809735005367	1193.5916012404716	0.8898788814626344	-142.74693208678823	0.00209551365786478	0.9452932830338796	0.054706716966120485	-4.835611043138773	766.7075392952721	-6.803383166953212	1159.9546465571068	2.1953690065864935E-4	1.277937574396534	8.756302729022526E-5	3.825235508846477E-8	1.3366182990985631	
290000	-8575.90266428283	-8420.652277415289	-155.2503868675413	-8420.652277415289	1096.7736199113617	0.861891793036886	-140.31420923845207	0.0015877891307899256	0.9462959883750036	0.053704011624996516	-4.8449711581654835	767.3329480611989	-5.52689078416425	992.5406904186972	2.2116019562996636E-4	1.367042589507769	9.89577076651518E-5	2.2334278307990913E-8	1.1458141684149643	
300000	-8574.987657792599	-8418.217761032938	-156.76989675966033	-8418.217761032938	1325.2002180416114	0.8231771185148401	-142.465104196301	0.0017521638957652013	0.9442906683035883	0.055709331696411825	-4.556753769901842	737.1637608489689	-5.591756401630201	1036.7825182491458	2.1061983058667775E-4	1.2427588926812658	8.943289767394137E-5	2.5955841706859357E-8	1.1612579144607018	
310000	-8579.687518904939	-8421.771074175418	-157.91644472952035	-8421.771074175418	1490.947543597605	0.7760964770019735	-142.37889277397804	0.0011064740689125175	0.9442906683035883	0.055709331696411825	-5.217338183655336	717.7284917369831	-6.413667801624847	866.6164116218129	1.9331619352922448E-4	1.1751935375540177	8.996721891856709E-5	3.039561467736457E-8	1.2047288354487231	
320000	-8593.567332131375	-8433.953307514348	-159.61402461702784	-8433.953307514348	2018.014653431431	1.02053401009183	-145.4946473190755	0.0010459744059134089	0.9442906683035883	0.055709331696411825	-4.910977307028762	771.6437773438894	-5.549194592279332	1022.3990504649498	1.032277898681538E-4	1.013423230774168	6.557081190401227E-5	1.349009162782641E-8	1.2375379471248857	
330000	-8588.266661639882	-8424.431467502505	-163.83519413737716	-8424.431467502505	1880.928411545876	0.8309201455064933	-147.87933210404125	0.0020403608265988087	0.9442906683035883	0.055709331696411825	-5.617403715707938	814.5662971276656	-6.481874090147146	1138.4027001871266	1.1028060683776814E-4	1.1404521980670614	7.341230139032654E-5	2.1441362937579263E-8	1.4263864527437873	
340000	-8589.972983514668	-8429.191749769374	-160.78123374529432	-8429.191749769374	1458.6556648345509	0.9225234803613374	-146.00145353753888	0.0015144557143642575	0.9406780250307593	0.05932197496924089	-4.8429567396073585	767.1986940185467	-5.827857511712049	1077.9421314205974	1.0868852028568349E-4	1.1938132980973217	7.654136008827143E-5	2.156843696593232E-8	1.3683319406219971	
350000	-8578.455001632059	-8417.520149746673	-160.93485188538565	-8417.520149746673	1611.7772867977085	0.9225234803613374	-145.86205863380758	0.0012053277445476802	0.9391537745146497	0.06084622548535049	-5.0306282074152975	779.1564958839143	-5.827266815507975	1077.8663080305225	1.1100727021582373E-4	1.2291411854033174	6.886987952017129E-5	3.669682241403687E-8	1.7204487415715857	
360000	-8577.476557919597	-8413.9213603516	-163.55519756799683	-8413.9213603516	1606.0525251603021	0.9841029490733358	-148.01500836953866	0.0012041221900723326	0.9391537745146497	0.06084622548535049	-4.77042081100535	762.2171753395816	-6.265784851366682	1121.7929498923413	1.2818642308012697E-4	1.3054369999863487	6.641896888318772E-5	7.228948659500246E-8	1.9848430789407416	
370000	-8574.93758323478	-8415.024990841936	-159.9125923928442	-8415.024990841936	1261.6680846478255	0.9840936120670631	-144.62768393738682	0.0011439767873922195	0.9397146362300413	0.0602853637699589	-4.556894807578911	739.8895826843997	-5.95931838432623	1093.2962662847196	1.644322159425315E-4	1.3948816342698378	7.977903730016838E-5	9.629770766652576E-8	2.103493307871898	
380000	-8577.152554134826	-8418.62456278205	-158.52799135277553	-8418.62456278205	1294.577787080057	0.878186058120176	-143.57871316620316	0.0014259221494869658	0.9393545545750763	0.06064544542492381	-4.587231497512143	746.1406132732171	-5.643546939121097	1048.8749874533657	1.4269544276582008E-4	1.4137905750766537	8.172030025421206E-5	7.742474408819977E-8	1.8620088388007106	
390000	-8578.898688670479	-8420.718520311259	-158.18016835921972	-8420.718520311259	1182.4229479080445	0.8209981628270834	-143.5831074632505	0.0016514175136289272	0.9385052427208684	0.06149475727913174	-4.557465403856935	740.1838530277698	-5.589057836564543	1036.0413976898176	1.2315224273298485E-4	1.3424056949490872	8.784431413704737E-5	4.5887295037559655E-8	1.702681226685696	
400000	-8588.268263235192	-8423.06143154569	-165.2068316895026	-8423.06143154569	1715.4613141103962	0.9149056345732254	-150.23409084610464	7.538654363378262E-4	0.9331491685475451	0.06685083145245493	-4.814639930901283	765.2906080033258	-6.171355773307906	1113.7758369879248	9.006398157086324E-5	1.1557445879017005	6.85677917986325E-5	2.0190242245174102E-8	1.457064294050174	
410000	-8586.54388249117	-8415.05047763434	-171.49340485683047	-8415.05047763434	2362.2978776023756	0.9149056345732254	-155.0430733977727	0.0012021802517460302	0.9331491685475451	0.06685083145245493	-5.041733104063627	779.8406461120888	-7.555080414840873	1201.5426354719075	6.987751019967736E-5	1.1116972097135072	5.227164515045075E-5	1.0725576156146532E-8	1.349388780956054	
420000	-8591.218206491882	-8423.119385094204	-168.09882139767788	-8423.119385094204	1807.1235087830555	0.8168762466101892	-151.8775619438359	9.093470520839162E-4	0.9410413744177184	0.05895862558228168	-4.738122210134559	759.8771068308299	-8.104245423909294	1227.1623518418724	7.060085867592393E-5	0.9885225509504825	4.770538643030159E-5	6.087531272475353E-9	1.2859687521443923	
430000	-8583.901060262953	-8415.87695512009	-168.024105142863	-8415.87695512009	1639.4099955404954	0.9215392010065151	-151.4444338989766	7.473176205519586E-4	0.9399561442131488	0.06004385578685129	-4.697123463494188	726.5153979377579	-8.526405430646538	1245.0427191921349	7.571794571873905E-5	0.9473448686063802	5.355145172432295E-5	5.65841489341477E-9	1.2075689553940285	
440000	-8579.94357613794	-8415.68299491207	-164.2605812258724	-8415.68299491207	1470.2265331464937	1.1106374882405383	-149.30547310287741	8.598652341296443E-4	0.9395858263578316	0.06041417364216841	-4.574697369150154	744.2914150026204	-6.800523016040363	1159.775736383695	8.012062956575418E-5	0.9585154668062007	6.711932276552502E-5	8.570657688750651E-9	1.188353867176448	
450000	-8576.96980026289	-8412.41246295379	-164.5573373091008	-8412.41246295379	1617.4728909368043	0.9775364686754193	-150.18165576021187	0.0013337178065381187	0.9384188962792617	0.06158110372073829	-5.297605767927703	795.3197160559829	-5.703501828691692	1059.89876618077	7.404658012154545E-5	0.9352565622645992	6.106645693606177E-5	6.8303617912421104E-9	1.207957848241685	
460000	-8581.490392360085	-8415.273970882485	-166.2164214776009	-8415.273970882485	1816.1793114160669	1.0025483978964704	-151.86257209045166	8.114548222889906E-4	0.9425824406285161	0.05741755937148382	-4.568206040392914	743.1269985536412	-5.882514455885646	1084.6647195345124	5.532877169282224E-5	1.0991660516113195	4.925577763139505E-5	5.844587870388117E-9	1.2488864253092715	
