#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:cpacific" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:cpacific" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:cpacific">
#                <taxonset id="TaxonSet.cpacific" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:cpacific" name="distribution" x="@birthRate.t:cpacific">
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ClockPrior.c:cpacific" name="distribution">
#            <parameter id="clockRate.c:cpacific" name="x">1.0</parameter>
#            <Uniform id="Uniform.01" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="gamma_shapePrior_CTMC" name="distribution">
#            <parameter id="gamma_shape_s" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <distribution id="EastPolynesian.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:cpacific">
#            <taxonset id="EastPolynesian" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="Hawaiian" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Maori" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Marquesan" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Mangareva" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Rarotongan" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Tuamotu" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="SouthIslandMaori" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="TahitianModern" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="RapanuiEasterIsland" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.0" name="distr">
#                <parameter estimate="false" id="RealParameter.01" name="mean">1000.0</parameter>
#                <parameter estimate="false" id="RealParameter.02" name="sigma">100.0</parameter>
#            </Normal>
#        </distribution>
#        <distribution id="NewZealand.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:cpacific">
#            <taxonset id="NewZealand" spec="beast.evolution.alignment.TaxonSet">
#                <taxon idref="Maori"/>
#                <taxon idref="SouthIslandMaori"/>
#            </taxonset>
#            <LogNormal id="LogNormalDistributionModel.01" meanInRealSpace="true" name="distr" offset="704.0">
#                <parameter estimate="false" id="RealParameter.05" name="M">90.0</parameter>
#                <parameter estimate="false" id="RealParameter.06" lower="0.0" name="S" upper="5.0">0.8</parameter>
#            </LogNormal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution id="treeLikelihood.cpacific" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:cpacific">
#            <data ascertained="true" data="@cpacific" excludeto="1" filter="::" id="bin.cpacific" spec="beast.evolution.alignment.FilteredAlignment">
#                <userDataType id="Binary.0" spec="beast.evolution.datatype.Binary"/>
#            </data>
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:cpacific" shape="@gamma_shape_s" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="proportionInvariant.s:cpacific" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="CTMC.s:cpacific" spec="beast.evolution.substitutionmodel.GeneralSubstitutionModel">
#                    <parameter dimension="2" estimate="false" id="rates.s:cpacific" lower="0.0" name="rates">1.0 1.0</parameter>
#                    <frequencies id="estimatedFreqs.s:cpacific" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="2" id="freqParameter.s:cpacific" lower="0.0" name="frequencies" upper="1.0">0.5</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:cpacific" id="StrictClock.c:cpacific" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.cpacific	TreeHeight.t:cpacific	gamma_shape_s	YuleModel.t:cpacific	birthRate.t:cpacific	freqParameter.s:cpacific1	freqParameter.s:cpacific2	clockRate.c:cpacific	logP(mrca(NewZealand))	mrcatime(NewZealand)	logP(mrca(EastPolynesian))	mrcatime(EastPolynesian)	
160000	-8689.330489047241	-8517.671966016096	-171.6585230311456	-8517.671966016096	4144.239519302624	0.8824223161030547	-156.85224706173847	7.194174475731779E-4	0.9457359477228747	0.054264052277125344	3.822615216351027E-5	-4.984498760647593	720.4261539188329	-8.939354892656462	1261.3521063034962	
170000	-8691.0440614546	-8521.40082954002	-169.64323191458033	-8521.40082954002	3651.5257680441896	0.9114340255121929	-156.1285002389352	0.0010715011921576534	0.9403632250496471	0.05963677495035305	4.74031617179992E-5	-4.633358076595901	729.136847984858	-7.969939573537033	1221.1710132157589	
180000	-8693.657144024413	-8521.806423444437	-171.85072057997678	-8521.806423444437	3283.1063769336106	0.9930748796326985	-155.84159158254226	6.268181212630757E-4	0.9406074262304072	0.059392573769593004	4.0727374416027226E-5	-5.293780727748101	795.0903189159162	-9.722273390053715	1289.764203132856	
190000	-8694.593128669183	-8526.884575301376	-167.70855336780815	-8526.884575301376	3937.8192695525427	0.9958723969202671	-155.97501592833336	6.809676670115703E-4	0.9325908521680575	0.06740914783194277	5.025162548444879E-5	-4.582338037231758	745.4626379435364	-6.155327005322773	1112.3582027383857	
200000	-8698.469088590544	-8524.130794876031	-174.3382937145126	-8524.130794876031	3731.2881232874684	1.1099947664251504	-158.32859357753978	9.633021284143557E-4	0.9354036248726374	0.06459637512736287	4.259013655603442E-5	-4.902830641189096	721.6924746401071	-9.996874729358566	1299.0908226664872	
210000	-8687.890900494987	-8518.024373276485	-169.86652721850305	-8518.024373276485	3481.733558334199	0.8362993770147371	-155.9843351470072	6.654534850497265E-4	0.9435414435049306	0.05645855649506957	3.5551852162140324E-5	-4.622786391703589	729.7018937581946	-8.423106302777542	1240.7902649022496	
220000	-8691.162637065372	-8524.561136872453	-166.60150019291865	-8524.561136872453	3089.6844161963836	0.912617069911489	-153.59528105149542	9.329589374391958E-4	0.9496104159949227	0.05038958400507758	3.9735556814061586E-5	-5.324463856722655	716.7785946052578	-6.769138214789111	1157.799207576993	
230000	-8684.226691933849	-8517.328500854435	-166.898191079414	-8517.328500854435	3498.015250654445	0.8773811632019537	-155.402832185869	6.040883516991583E-4	0.9472333628705695	0.05276663712943076	4.039745216960532E-5	-4.610011158427762	730.4674355691111	-6.007966571915302	1098.3725421774327	
240000	-8689.961047542129	-8522.945192017767	-167.01585552436137	-8522.945192017767	3271.4556860667194	0.8378233389039741	-154.8052040444856	9.249701969648643E-4	0.9472333628705695	0.05276663712943076	4.1689136507087515E-5	-4.5956704615410615	731.4770040910956	-6.777157679430716	1158.306598740416	
250000	-8688.800824629536	-8522.227299550223	-166.57352507931364	-8522.227299550223	3221.697135135811	1.0329429878225591	-154.76565044053729	9.991103056597357E-4	0.9506282250573452	0.04937177494265497	3.4847903253984954E-5	-4.586056763339034	732.2863519149922	-6.188874887614767	1115.3053483947733	
260000	-8693.834064872013	-8522.786460226016	-171.0476046459964	-8522.786460226016	3339.001970641595	0.9927303769169209	-155.91404860372808	5.911532934970667E-4	0.9513975070356383	0.04860249296436189	3.353801033376732E-5	-5.547269761502471	810.32024601086	-8.593555903848937	1247.7679230512365	
270000	-8692.974550636707	-8528.68526171806	-164.28928891864842	-8528.68526171806	2948.4700879098064	0.9099055120853619	-152.81111517992676	9.485762657000397E-4	0.9530367220384672	0.04696327796153297	3.566499572102933E-5	-4.940913302551467	721.0735619784394	-5.627354924084815	1045.441435913063	
280000	-8696.44676586639	-8528.054668320212	-168.3920975461784	-8528.054668320212	3741.2931575281777	0.899682339240187	-155.74111024908893	5.485090661624162E-4	0.9426863361593824	0.05731366384061791	4.102348419052324E-5	-5.469696671439149	805.6456269780509	-6.281608286410128	1123.085301089721	
290000	-8696.78598223157	-8523.655328934254	-173.1306532973166	-8523.655328934254	4697.373337122368	0.7780906459514589	-158.62915482171147	8.031929575998948E-4	0.9405495533208262	0.05945044667917399	3.810144346128977E-5	-4.827992557246683	723.0933142191088	-8.895415272406977	1259.6654213873774	
300000	-8689.89093241294	-8523.269015224474	-166.62191718846668	-8523.269015224474	3313.6582590267253	0.8824449037353941	-154.5435128511615	9.297160199185984E-4	0.9450308019294533	0.05496919807054684	4.1449481867239696E-5	-4.655299007185168	753.2561076854798	-6.540660426384628	1142.5869353897378	
310000	-8690.35557304163	-8519.907517849753	-170.44805519187688	-8519.907517849753	3633.8636819179947	1.124305507743376	-156.5368128883436	6.092131674065672E-4	0.9433908369618412	0.056609163038159035	3.9750797284352224E-5	-4.555727905591546	738.0302298831657	-8.231208890198355	1232.6843428770226	
320000	-8691.565313441328	-8521.578412762656	-169.98690067867122	-8521.578412762656	4124.303831266272	0.8541790687648187	-157.2264188333127	8.066399199751108E-4	0.9472146408707208	0.05278535912927947	3.622387750179009E-5	-4.561516094805173	735.5894497822845	-7.34478668178856	1190.8233718702086	
330000	-8694.13888433503	-8520.671657626926	-173.4672267081041	-8520.671657626926	3997.3289510714862	0.8541790687648187	-160.47134362653372	3.5269951536866055E-4	0.9480717294848723	0.05192827051512802	3.5450448091649466E-5	-4.605679159261051	730.7527972541683	-7.536024853544506	1200.5949218874566	
340000	-8686.11160280654	-8519.832612220891	-166.27899058565066	-8519.832612220891	3430.61889994978	0.8495495645816744	-154.7955181899865	9.68736676761046E-4	0.9448225003531556	0.055177499646844715	4.397457593494961E-5	-4.628481194509444	729.3908454015002	-6.005441636573053	1098.1155357097223	
350000	-8689.940316920389	-8523.198332494965	-166.74198442542283	-8523.198332494965	3285.6651978385134	0.8994128501891874	-154.94435977126068	5.938765771868967E-4	0.9414981749154292	0.05850182508457117	4.405565954078502E-5	-4.6576786406486095	753.465307752648	-6.240533163324344	1119.70166616481	
360000	-8695.876335087078	-8525.6975210399	-170.17881404717824	-8525.6975210399	4124.725464594413	0.8292047495771527	-157.35661762268697	8.329883395334169E-4	0.9454897436543207	0.054510256345679624	3.8075918997182156E-5	-4.566208109778622	742.7182251888863	-7.426783565135505	1195.073055337878	
370000	-8692.288662770856	-8522.323048096965	-169.96561467389114	-8522.323048096965	3645.8849289451286	0.9420893414714927	-156.38764568469637	7.892966748359565E-4	0.9454897436543207	0.054510256345679624	3.4134530364254374E-5	-4.584489074606593	745.7663450280614	-8.051390573116684	1224.8235687788947	
380000	-8692.714454503055	-8520.957089385585	-171.75736511746976	-8520.957089385585	4282.000307260601	0.9884293883683097	-158.1081356505847	5.444228923552303E-4	0.9498538960637207	0.050146103936279635	3.3941892687683294E-5	-4.975371902651955	720.5568638133607	-7.685428175864812	1207.9095696052516	
390000	-8689.882781396354	-8520.349711270183	-169.5330701261713	-8520.349711270183	3982.4364912175874	0.9884293883683097	-156.8351268822161	0.0010672304342828844	0.9421185152979706	0.057881484702029765	4.479503733243052E-5	-4.68254567018408	727.028118323498	-7.026968185402846	1173.3700935115444	
400000	-8692.529252779783	-8524.927830280238	-167.60142249954453	-8524.927830280238	3601.381191074549	0.9884293883683097	-155.74595412802424	6.744672853307136E-4	0.9399693185348534	0.060030681465146916	4.380396733389376E-5	-4.88899563718466	721.9314458184175	-5.978043345967331	1095.2821732303128	
